Geneset,Gene,Source
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,ACSS2,KEGG
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,GCK,KEGG
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,PGK2,KEGG
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,PGK1,KEGG
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,PDHB,KEGG
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,PDHA1,KEGG
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,PDHA2,KEGG
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,PGM2,KEGG
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,TPI1,KEGG
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,ACSS1,KEGG
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,FBP1,KEGG
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,ADH1B,KEGG
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,HK2,KEGG
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,ADH1C,KEGG
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,HK1,KEGG
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,HK3,KEGG
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,ADH4,KEGG
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,PGAM2,KEGG
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,ADH5,KEGG
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,PGAM1,KEGG
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,ADH1A,KEGG
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,ALDOC,KEGG
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,ALDH7A1,KEGG
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,LDHAL6B,KEGG
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,PKLR,KEGG
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,LDHAL6A,KEGG
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,ENO1,KEGG
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,PKM2,KEGG
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,PFKP,KEGG
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,BPGM,KEGG
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,PCK2,KEGG
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,PCK1,KEGG
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,ALDH1B1,KEGG
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,ALDH2,KEGG
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,ALDH3A1,KEGG
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,AKR1A1,KEGG
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,FBP2,KEGG
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,PFKM,KEGG
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,PFKL,KEGG
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,LDHC,KEGG
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,GAPDH,KEGG
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,ENO3,KEGG
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,ENO2,KEGG
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,PGAM4,KEGG
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,ADH7,KEGG
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,ADH6,KEGG
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,LDHB,KEGG
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,ALDH1A3,KEGG
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,ALDH3B1,KEGG
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,ALDH3B2,KEGG
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,ALDH9A1,KEGG
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,ALDH3A2,KEGG
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,GALM,KEGG
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,ALDOA,KEGG
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,DLD,KEGG
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,DLAT,KEGG
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,ALDOB,KEGG
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,G6PC2,KEGG
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,LDHA,KEGG
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,G6PC,KEGG
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,PGM1,KEGG
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,GPI,KEGG
KEGG_CITRATE_CYCLE_TCA_CYCLE,IDH3B,KEGG
KEGG_CITRATE_CYCLE_TCA_CYCLE,DLST,KEGG
KEGG_CITRATE_CYCLE_TCA_CYCLE,PCK2,KEGG
KEGG_CITRATE_CYCLE_TCA_CYCLE,CS,KEGG
